timestamp,rise_time_s,settling_time_s,overshoot_percent,overshoot_deg
2026-05-18 15:40:03,0.0833,3.3228,30.36,5.98
2026-05-18 15:40:08,0.1854,2.4951,34.23,6.68
2026-05-18 15:40:14,0.1779,2.7480,35.14,6.86
2026-05-18 15:40:19,0.1810,3.0956,41.44,8.09
2026-05-18 15:40:23,0.1226,0.1068,9.73,1.93
2026-05-18 15:40:28,0.2021,1.8769,31.86,6.33
2026-05-18 15:40:32,0.1764,1.4730,37.27,7.21
2026-05-18 15:40:37,0.1854,1.4994,41.44,8.09
2026-05-18 15:40:42,0.1809,1.5513,48.65,9.49
2026-05-18 15:40:47,0.1827,1.5052,42.34,8.26
2026-05-18 15:40:54,0.1753,1.3938,57.66,11.25
2026-05-18 15:41:26,0.1851,28.7554,53.57,10.55
2026-05-18 15:41:30,0.1465,1.5026,43.64,8.44
2026-05-18 15:41:52,0.1456,18.7148,47.75,9.32
2026-05-18 15:42:02,0.1343,7.0105,44.14,8.61
2026-05-18 15:42:07,0.1292,1.2785,40.71,8.09
2026-05-18 15:42:17,0.1332,6.5469,42.34,8.26
2026-05-18 15:42:35,0.1352,14.8663,45.54,8.96
2026-05-18 15:42:39,0.1403,1.2881,42.34,8.26
2026-05-18 15:42:47,0.1450,5.5045,44.25,8.79
2026-05-18 15:42:54,0.1431,3.3440,42.48,8.44
2026-05-18 15:43:04,0.1316,6.9007,40.18,7.91
2026-05-18 15:43:41,0.1362,34.2021,46.85,9.14
2026-05-18 15:43:51,0.1332,6.1452,40.71,8.09
2026-05-18 15:43:55,0.1450,1.2759,61.06,12.13
2026-05-18 15:44:12,0.1470,14.3780,46.43,9.14
2026-05-18 15:44:30,0.1364,14.3195,42.48,8.44
2026-05-18 15:44:38,0.1353,5.5632,49.56,9.84
2026-05-18 15:44:43,0.1378,1.6422,45.13,8.96
