index,step_count,recovery_time_s,timestamp

1,1951,1.951000,2026-05-22 11:12:12
2,3245,3.245000,2026-05-22 11:12:15
3,1153,1.153000,2026-05-22 11:12:45
4,3207,3.207000,2026-05-22 11:12:48
5,3201,3.201000,2026-05-22 11:12:52
6,3197,3.197000,2026-05-22 11:12:57
7,3228,3.228000,2026-05-22 11:13:04
8,3191,3.191000,2026-05-22 11:13:10
9,3760,3.760000,2026-05-22 11:13:13
10,3745,3.745000,2026-05-22 11:13:18
11,3716,3.716000,2026-05-22 11:13:22
12,2568,2.568000,2026-05-22 11:13:25
13,3197,3.197000,2026-05-22 11:13:29
14,1979,1.979000,2026-05-22 11:13:32
15,3270,3.270000,2026-05-22 11:13:35
16,1967,1.967000,2026-05-22 11:13:38
17,3757,3.757000,2026-05-22 11:13:42
18,3273,3.273000,2026-05-22 11:13:45
19,3704,3.704000,2026-05-22 11:13:48
20,3701,3.701000,2026-05-22 11:13:52
21,3260,3.260000,2026-05-22 11:13:55
22,4738,4.738000,2026-05-22 11:13:59
23,3197,3.197000,2026-05-22 11:14:03
24,3707,3.707000,2026-05-22 11:14:07
25,1126,1.126000,2026-05-22 11:14:09
26,3232,3.232000,2026-05-22 11:14:14
27,3734,3.734000,2026-05-22 11:14:19
28,3748,3.748000,2026-05-22 11:14:23
29,2551,2.551000,2026-05-22 11:14:26
30,3189,3.189000,2026-05-22 11:14:30
31,3734,3.734000,2026-05-22 11:14:34
32,3069,3.069000,2026-05-22 11:14:37
33,3746,3.746000,2026-05-22 11:14:41
34,4242,4.242000,2026-05-22 11:14:45
35,3227,3.227000,2026-05-22 11:14:49
36,3717,3.717000,2026-05-22 11:14:53
37,3257,3.257000,2026-05-22 11:14:57
38,3710,3.710000,2026-05-22 11:15:00
39,3229,3.229000,2026-05-22 11:15:04
40,3192,3.192000,2026-05-22 11:15:08
41,3198,3.198000,2026-05-22 11:15:11
42,3270,3.270000,2026-05-22 11:15:15
43,3745,3.745000,2026-05-22 11:15:19
44,3197,3.197000,2026-05-22 11:15:22
45,3211,3.211000,2026-05-22 11:15:25
46,3193,3.193000,2026-05-22 11:15:29
47,3758,3.758000,2026-05-22 11:15:33
48,3735,3.735000,2026-05-22 11:15:37
49,3745,3.745000,2026-05-22 11:15:40
50,3707,3.707000,2026-05-22 11:15:45
51,3191,3.191000,2026-05-22 11:15:48
52,3761,3.761000,2026-05-22 11:15:52
53,3215,3.215000,2026-05-22 11:15:55
54,2561,2.561000,2026-05-22 11:15:58
55,1071,1.071000,2026-05-22 11:16:01
56,3729,3.729000,2026-05-22 11:16:04
58,3201,3.201000,2026-05-22 11:16:11
59,3189,3.189000,2026-05-22 11:16:15
60,3192,3.192000,2026-05-22 11:16:18
61,3563,3.563000,2026-05-22 11:16:22
62,3722,3.722000,2026-05-22 11:16:26
63,3530,3.530000,2026-05-22 11:16:30
64,3736,3.736000,2026-05-22 11:16:34
65,4232,4.232000,2026-05-22 11:16:39
66,3729,3.729000,2026-05-22 11:16:42
67,3829,3.829000,2026-05-22 11:16:45
68,2547,2.547000,2026-05-22 11:16:49
69,3206,3.206000,2026-05-22 11:16:54
70,3196,3.196000,2026-05-22 11:16:58
71,3190,3.190000,2026-05-22 11:17:02
72,3705,3.705000,2026-05-22 11:17:05
73,3201,3.201000,2026-05-22 11:17:09
74,3255,3.255000,2026-05-22 11:17:13
75,3189,3.189000,2026-05-22 11:17:16
76,3749,3.749000,2026-05-22 11:17:20
77,3195,3.195000,2026-05-22 11:17:25
78,1861,1.861000,2026-05-22 11:17:27
79,3729,3.729000,2026-05-22 11:17:31
80,3709,3.709000,2026-05-22 11:17:35
81,3244,3.244000,2026-05-22 11:17:39
82,3200,3.200000,2026-05-22 11:17:42
83,3207,3.207000,2026-05-22 11:17:45
84,2575,2.575000,2026-05-22 11:17:48
85,3703,3.703000,2026-05-22 11:17:52
86,3230,3.230000,2026-05-22 11:17:55
87,2732,2.732000,2026-05-22 11:17:57
88,3905,3.905000,2026-05-22 11:18:00
89,3262,3.262000,2026-05-22 11:18:03
90,3290,3.290000,2026-05-22 11:18:07
91,1825,1.825000,2026-05-22 11:18:09
92,5205,5.205000,2026-05-22 11:18:15
93,3716,3.716000,2026-05-22 11:18:21
94,3213,3.213000,2026-05-22 11:18:24
95,3232,3.232000,2026-05-22 11:18:28
96,3723,3.723000,2026-05-22 11:18:32
97,3238,3.238000,2026-05-22 11:18:35
98,2558,2.558000,2026-05-22 11:18:38
99,3717,3.717000,2026-05-22 11:18:42
100,3728,3.728000,2026-05-22 11:18:45
101,3746,3.746000,2026-05-22 11:19:03
