timestamp,rise_time_s,settling_time_s,overshoot_percent,overshoot_deg
2026-05-18 14:57:06,0.0580,0.1400,32.74,6.50
2026-05-18 14:57:11,0.0496,0.8304,56.64,11.25
2026-05-18 14:57:16,0.0505,0.2006,26.13,5.10
2026-05-18 14:57:20,0.0483,0.9714,65.49,13.01
2026-05-18 14:57:25,0.0498,1.1238,67.26,13.36
2026-05-18 14:57:31,0.3541,0.9643,20.35,4.04
2026-05-18 14:57:37,0.0515,0.2148,20.35,4.04
2026-05-18 15:07:58,0.0498,0.1881,27.68,5.45
2026-05-18 15:08:01,0.0524,0.1933,23.89,4.75
2026-05-18 15:08:05,0.0498,0.1358,36.28,7.21
2026-05-18 15:08:08,0.0538,0.1918,23.89,4.75
2026-05-18 15:08:12,0.0456,0.1364,45.95,8.96
2026-05-18 15:08:15,0.0535,0.2030,21.43,4.22
2026-05-18 15:08:18,0.0570,0.2016,27.43,5.45
2026-05-18 15:08:22,0.0563,1.0687,21.24,4.22
2026-05-18 15:08:26,0.0564,0.9087,18.75,3.69
2026-05-18 15:08:29,0.0535,0.9667,23.89,4.75
2026-05-18 15:08:33,0.0504,0.8897,32.74,6.50
2026-05-18 15:08:36,0.0536,0.1909,20.00,3.87
2026-05-18 15:08:39,0.0513,0.1239,30.97,6.15
2026-05-18 15:08:42,0.0508,0.1945,28.32,5.62
2026-05-18 15:08:46,0.0568,0.2087,23.89,4.75
2026-05-18 15:08:50,0.0467,0.8052,42.86,8.44
2026-05-18 15:08:53,0.0519,0.1946,25.89,5.10
2026-05-18 15:08:57,0.0463,0.7852,40.91,7.91
2026-05-18 15:08:59,0.0489,0.1267,38.39,7.56
2026-05-18 15:09:02,0.0505,0.1980,27.43,5.45
2026-05-18 15:09:07,0.0518,1.1751,23.21,4.57
2026-05-18 15:09:10,0.0535,1.0446,26.13,5.10
2026-05-18 15:09:14,0.0525,0.8579,30.09,5.98
2026-05-18 15:09:17,0.0493,0.1953,26.55,5.27
2026-05-18 15:09:20,0.0451,0.1871,37.50,7.38
2026-05-18 15:09:24,0.0536,0.2016,25.00,4.92
2026-05-18 15:09:27,0.0488,0.1395,45.05,8.79
2026-05-18 15:09:30,0.0534,0.2035,24.11,4.75
2026-05-18 15:09:33,0.0554,0.1383,35.71,7.03
2026-05-18 15:09:36,0.0568,0.1403,37.50,7.38
2026-05-18 15:09:39,0.0554,0.1413,38.94,7.73
2026-05-18 15:09:42,0.0490,0.1278,38.05,7.56
2026-05-18 15:09:45,0.0466,0.1916,33.93,6.68
2026-05-18 15:09:48,0.0494,0.1782,31.25,6.15
2026-05-18 15:09:51,0.0529,0.1895,29.46,5.80
2026-05-18 15:09:54,0.0531,0.7270,58.93,11.60
2026-05-18 15:09:59,0.0565,1.4649,26.79,5.27
2026-05-18 15:10:02,0.0506,0.8536,30.97,6.15
2026-05-18 15:10:05,0.0568,0.1316,35.40,7.03
2026-05-18 15:10:09,0.0546,1.0940,44.25,8.79
2026-05-18 15:10:13,0.0499,1.0028,29.73,5.80
2026-05-18 15:10:17,0.0526,0.8481,27.68,5.45
2026-05-18 15:10:19,0.0516,0.1480,48.21,9.49
2026-05-18 15:10:23,0.0546,1.2146,43.36,8.61
2026-05-18 15:10:27,0.0532,1.5324,36.04,7.03
2026-05-18 15:10:33,0.0525,1.5660,26.79,5.27
2026-05-18 15:11:21,0.0519,0.1534,54.46,10.72
2026-05-18 15:11:24,0.0533,0.2059,31.25,6.15
2026-05-18 15:11:27,0.0535,0.1202,25.89,5.10
2026-05-18 15:11:30,0.0506,0.1976,27.68,5.45
